Language,Title,Author,Year,Source,Link
EN,Letters from Italy v1,Mariana Starke,1800,Internet Archive,https://archive.org/details/bim_eighteenth-century_letters-from-italy-betw_starke-mariana_1800_2/page/n1/mode/2up
,Letters from Italy v2,Mariana Starke,1800,Internet Archive,https://archive.org/details/bim_eighteenth-century_letters-from-italy-betw_starke-mariana_1800_1/mode/2up
,The Adventures of Telemachus,Francis De Saligna De La Motte Fenelon,1788,Internet Archive,https://archive.org/details/bim_eighteenth-century_the-adventures-of-telema_fnelon-franois-de-sal_1788_1/page/n1/mode/2up
,The History and Adventures of the Renowned Don Quixote v1,Miguel de Cervantes Saavedra ,1755,Internet Archive,https://archive.org/details/cervantessmollettdonquixote01/mode/2up
,The History and Adventures of the Renowned Don Quixote v2,Miguel de Cervantes Saavedra ,1761,Google Books,https://books.google.tl/books?id=Ckj_ABCA-78C&printsec=frontcover&hl=pt-PT#v=onepage&q&f=false
,The History and Adventures of the Renowned Don Quixote v3,Miguel de Cervantes Saavedra ,1766,Internet Archive,https://archive.org/details/bim_eighteenth-century_don-quixote-english-_cervantes-saavedra-migu_1766_3/page/n9/mode/2up
,The History and Adventures of the Renowned Don Quixote v4,Miguel de Cervantes Saavedra ,1786,Internet Archive,https://archive.org/details/bim_eighteenth-century_the-history-and-adventur_cervantes-saavedra-migu_1786_4
FR,Les Aventures de Télémaque,Salignac de la Motte Fénélon,1819,Google Books,https://books.google.tt/books?id=1XrbY2c88cUC&printsec=frontcover&source=gbs_book_other_versions_r&cad=3#v=onepage&q&f=false
,Oeuvres de Mr Boileau-Despréaux v1,Nicolas Boileau Despréaux,1875,Google,https://ia601608.us.archive.org/31/items/oeuvresdeboilea00saingoog/oeuvresdeboilea00saingoog.pdf
,Oeuvres de Mr Boileau-Despréaux v4,Nicolas Boileau Despréaux,1749,Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/obra/oeuvres-de-mr-boileau-despreaux-avec-des-eclaircissemens-historiques-donnes-par-lui-meme/
ITA,"Dell’Origine, Progressi e Stato Attuale D v1",D. Giovanni Andres,1782,Google Books,https://books.google.it/books?id=GkHlJakWx8sC&printsec=frontcover&hl=pt-PT&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
,"Dell’Origine, Progressi e Stato Attuale D v2",D. Giovanni Andres,1785,Google Books,https://books.google.pt/books?id=B4So01XqFVYC&printsec=frontcover&hl=pt-PT&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
,"Dell’Origine, Progressi e Stato Attuale D v3",D. Giovanni Andres,1787,Google Books,https://books.google.pt/books?id=N_JKAAAAcAAJ&printsec=frontcover&hl=pt-PT&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
,"Dell’Origine, Progressi e Stato Attuale D v4",D. Giovanni Andres,1790,Google Books,https://books.google.es/books?id=UfJKAAAAcAAJ&printsec=frontcover&hl=pt-PT&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
PT,Sermoens do P. António Vieira v1,Miguel Deslandes,1679,Biblioteca Nacional de Portugal,https://purl.pt/297/1/index.html#/1/html
,Sermoens do P. António Vieira v2,Miguel Deslandes,1682,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009220&bbm/4561#page/6/mode/2up
,Sermoens do P. António Vieira v3,Miguel Deslandes,1683,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009221&bbm/4562#page/1/mode/2up
,Sermoens do P. António Vieira v4,Miguel Deslandes,1685,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009222&bbm/4559#page/1/mode/2up
,Sermoens do P. António Vieira v5,Miguel Deslandes,1689,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009225&bbm/4576#page/1/mode/2up
,Sermoens do P. António Vieira v6,Miguel Deslandes,1690,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009226&bbm/4572#page/1/mode/2up
,Sermoens do P. António Vieira v7,Miguel Deslandes,1692,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009227&bbm/4573#page/1/mode/2up
,Sermoens do P. António Vieira v8,Miguel Deslandes,1694,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009228&bbm/4577#page/1/mode/2up
,Sermoens do P. António Vieira v9,Miguel Deslandes,1686,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/view/?45000009223&bbm/4560#page/1/mode/2up
,Sermoens do P. António Vieira v10,Miguel Deslandes,1688,Biblioteca Brasiliana Guita e José Mindlin,https://digital.bbm.usp.br/handle/bbm/4575
SPA,"El Alphonso, La Fundación del Reino de Portugal, Establecida
i Perfecta en la Conquista de Lysboa. D’el Caballero Francisco
Botello de Moráes Vafconcélos",Francisco Botello de Morais i Vasconcelos,1731,Repositorio GREDOS USAL - Universidad de Salamanca,https://gredos.usal.es/handle/10366/157712?show=full
,Emblemas Morales de Don Sebastián de Couarrubias Orozco,Sebastián de Covarrubias,1610,Internet Archive,https://archive.org/details/emblemasmoralesd00covar
